101,Code Complete,Steve McConnell,10
102,Introduction to Algorithms,Thomas H. Cormen,15
103,Clean Code,Robert C. Martin,7
104,The Pragmatic Programmer,Andrew Hunt and David Thomas,12
105,Design Patterns,Erich Gamma et al.,20
106,The Mythical Man-Month,Fred Brooks,18
107,Refactoring,Martin Fowler,14
108,Artificial Intelligence: A Modern Approach,Stuart Russell and Peter Norvig,16
109,Database Management Systems,Raghu Ramakrishnan and Johannes Gehrke,25
110,Operating System Concepts,Abraham Silberschatz and Peter B. Galvin and Greg Gagne,22
111,Computer Networks,Andrew S. Tanenbaum and David J. Wetherall,30
112,Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,28
113,Introduction to Machine Learning with Python,Andreas C. Müller and Sarah Guido,24
114,The Algorithm Design Manual,Steven S. Skiena,17
115,Clean Architecture,Robert C. Martin,19
116,Art of Computer Programming,Donald E. Knuth,13
117,Deep Learning,Ian Goodfellow and Yoshua Bengio and Aaron Courville,21
118,Cracking the Coding Interview,Gayle Laakmann McDowell,27
119,Introduction to Computer Graphics,James D. Foley et al.,23
120,Code Reading,Diwakar Ganesan,11
121,The Linux Programming Interface,Michael Kerrisk,29
122,Introduction to Artificial Intelligence,Wolfgang Ertel,26
123,Computer Systems: A Programmer's Perspective,Randal E. Bryant and David R. O'Hallaron,14
124,The Pragmatic Programmer's Guide,Andy Hunt and Dave Thomas,16
125,The Joy of x: A Guided Tour of Math, from One to Infinity and Steven Strogatz,18
126,Crash Course in Artificial Intelligence and Machine Learning,Eric Matthes,20
127,Computer Graphics: Principles and Practice in C,James D. Foley et al.,22
128,The Cathedral and the Bazaar,Eric S. Raymond,24
129,Computer Networking: Principles, Protocols and Practice and Olivier Bonaventure,26
130,Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,28
131,The alchemist,Paulo Coelho,20
132,COA,William Stallings,14
